time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-30 00:00:00+00:00,39,25,19,12
2025-10-31 00:00:00+00:00,117,24,20,9
2025-11-01 00:00:00+00:00,25,18,8,5
2025-11-02 00:00:00+00:00,23,15,12,8
2025-11-03 00:00:00+00:00,32,13,20,13
2025-11-04 00:00:00+00:00,18,13,12,8
2025-11-05 00:00:00+00:00,96,16,69,21
2025-11-06 00:00:00+00:00,27,19,37,19
2025-11-07 00:00:00+00:00,17,11,10,8
2025-11-08 00:00:00+00:00,10,8,16,11
2025-11-09 00:00:00+00:00,18,12,14,12
2025-11-10 00:00:00+00:00,24,17,21,17
2025-11-11 00:00:00+00:00,26,13,43,17
2025-11-12 00:00:00+00:00,13,11,11,11
