time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-14 00:00:00+00:00,1.0,1.0,10,9
2024-11-15 00:00:00+00:00,,,15,7
2024-11-16 00:00:00+00:00,2.0,1.0,17,6
2024-11-17 00:00:00+00:00,2.0,1.0,10,6
2024-11-18 00:00:00+00:00,,,24,14
2024-11-19 00:00:00+00:00,1.0,1.0,8,6
2024-11-20 00:00:00+00:00,2.0,2.0,20,14
2024-11-21 00:00:00+00:00,,,24,10
2024-11-22 00:00:00+00:00,1.0,1.0,15,10
2024-11-23 00:00:00+00:00,5.0,3.0,6,4
2024-11-24 00:00:00+00:00,1.0,1.0,19,6
2024-11-25 00:00:00+00:00,3.0,2.0,34,11
2024-11-26 00:00:00+00:00,1.0,1.0,10,5
2024-11-27 00:00:00+00:00,,,6,5
