time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-16 00:00:00+00:00,19,13,28,11
2025-06-17 00:00:00+00:00,16,10,10,7
2025-06-18 00:00:00+00:00,24,16,21,15
2025-06-19 00:00:00+00:00,17,11,15,10
2025-06-20 00:00:00+00:00,20,14,6,6
2025-06-21 00:00:00+00:00,14,8,4,2
2025-06-22 00:00:00+00:00,13,7,4,3
2025-06-23 00:00:00+00:00,18,12,20,5
2025-06-24 00:00:00+00:00,15,9,25,19
2025-06-25 00:00:00+00:00,17,11,10,6
2025-06-26 00:00:00+00:00,16,11,22,9
2025-06-27 00:00:00+00:00,20,11,2,2
2025-06-28 00:00:00+00:00,19,12,4,3
2025-06-29 00:00:00+00:00,7,7,9,4
