time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-22 00:00:00+00:00,141,51,7,3
2026-05-23 00:00:00+00:00,109,39,11,8
2026-05-24 00:00:00+00:00,171,42,29,6
2026-05-25 00:00:00+00:00,235,56,14,5
2026-05-26 00:00:00+00:00,1706,93,7,5
2026-05-27 00:00:00+00:00,940,98,4,4
2026-05-28 00:00:00+00:00,698,63,30,14
2026-05-29 00:00:00+00:00,150,56,16,8
2026-05-30 00:00:00+00:00,98,35,2,2
2026-05-31 00:00:00+00:00,233,92,19,6
2026-06-01 00:00:00+00:00,86,35,13,11
2026-06-02 00:00:00+00:00,125,41,13,5
2026-06-03 00:00:00+00:00,106,39,8,7
2026-06-04 00:00:00+00:00,251,52,27,11
