time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-09 00:00:00+00:00,446,13,43,22
2025-04-10 00:00:00+00:00,268,20,36,14
2025-04-11 00:00:00+00:00,17,11,33,13
2025-04-12 00:00:00+00:00,10,6,12,8
2025-04-13 00:00:00+00:00,9,5,22,10
2025-04-14 00:00:00+00:00,8,6,17,12
2025-04-15 00:00:00+00:00,6,6,28,13
2025-04-16 00:00:00+00:00,10,6,30,15
2025-04-17 00:00:00+00:00,13,9,15,9
2025-04-18 00:00:00+00:00,12,6,16,14
2025-04-19 00:00:00+00:00,7,6,7,3
2025-04-20 00:00:00+00:00,7,5,8,5
2025-04-21 00:00:00+00:00,9,7,40,6
2025-04-22 00:00:00+00:00,5,5,31,16
