time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-08 00:00:00+00:00,20,12,18,10
2025-07-09 00:00:00+00:00,18,12,8,6
2025-07-10 00:00:00+00:00,19,10,6,6
2025-07-11 00:00:00+00:00,27,16,10,8
2025-07-12 00:00:00+00:00,20,13,2,2
2025-07-13 00:00:00+00:00,19,12,5,2
2025-07-14 00:00:00+00:00,25,11,14,10
2025-07-15 00:00:00+00:00,20,12,11,10
2025-07-16 00:00:00+00:00,18,11,12,6
2025-07-17 00:00:00+00:00,31,13,14,6
2025-07-18 00:00:00+00:00,18,9,17,9
2025-07-19 00:00:00+00:00,18,12,15,3
2025-07-20 00:00:00+00:00,21,15,26,7
2025-07-21 00:00:00+00:00,12,11,35,12
