time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-05 00:00:00+00:00,15,15,32,26
2025-10-06 00:00:00+00:00,122,18,66,30
2025-10-07 00:00:00+00:00,21,21,36,29
2025-10-08 00:00:00+00:00,27,18,37,25
2025-10-09 00:00:00+00:00,32,23,16,11
2025-10-10 00:00:00+00:00,13,11,27,18
2025-10-11 00:00:00+00:00,14,11,17,11
2025-10-12 00:00:00+00:00,12,12,5,5
2025-10-13 00:00:00+00:00,174,27,32,17
2025-10-14 00:00:00+00:00,58,16,28,21
2025-10-15 00:00:00+00:00,15,13,51,17
2025-10-16 00:00:00+00:00,26,14,32,14
2025-10-17 00:00:00+00:00,210,20,18,17
2025-10-18 00:00:00+00:00,274,16,11,8
