time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-05 00:00:00+00:00,3.0,2.0,16,11
2024-11-06 00:00:00+00:00,2.0,2.0,11,9
2024-11-07 00:00:00+00:00,1.0,1.0,13,7
2024-11-08 00:00:00+00:00,,,18,11
2024-11-09 00:00:00+00:00,1.0,1.0,10,4
2024-11-10 00:00:00+00:00,2.0,1.0,8,4
2024-11-11 00:00:00+00:00,1.0,1.0,15,11
2024-11-12 00:00:00+00:00,,,10,7
2024-11-13 00:00:00+00:00,1.0,1.0,31,13
2024-11-14 00:00:00+00:00,1.0,1.0,10,9
2024-11-15 00:00:00+00:00,,,15,7
2024-11-16 00:00:00+00:00,2.0,1.0,17,6
2024-11-17 00:00:00+00:00,2.0,1.0,10,6
2024-11-18 00:00:00+00:00,,,24,14
