time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-04 00:00:00+00:00,91,27,30,17
2025-03-05 00:00:00+00:00,8,8,26,10
2025-03-06 00:00:00+00:00,12,11,42,15
2025-03-07 00:00:00+00:00,13,9,79,13
2025-03-08 00:00:00+00:00,9,9,16,11
2025-03-09 00:00:00+00:00,9,8,4,4
2025-03-10 00:00:00+00:00,8,8,16,11
2025-03-11 00:00:00+00:00,14,13,46,20
2025-03-12 00:00:00+00:00,9,9,35,22
2025-03-13 00:00:00+00:00,9,8,42,19
2025-03-14 00:00:00+00:00,17,14,32,16
2025-03-15 00:00:00+00:00,14,11,24,12
2025-03-16 00:00:00+00:00,9,6,8,6
2025-03-17 00:00:00+00:00,20,15,20,16
