time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-28 00:00:00+00:00,10,9,48,31
2025-09-29 00:00:00+00:00,274,26,18,14
2025-09-30 00:00:00+00:00,376,33,27,24
2025-10-01 00:00:00+00:00,48,18,20,20
2025-10-02 00:00:00+00:00,28,14,51,24
2025-10-03 00:00:00+00:00,16,11,36,27
2025-10-04 00:00:00+00:00,12,12,15,14
2025-10-05 00:00:00+00:00,15,15,32,26
2025-10-06 00:00:00+00:00,122,18,66,30
2025-10-07 00:00:00+00:00,21,21,36,29
2025-10-08 00:00:00+00:00,27,18,37,25
2025-10-09 00:00:00+00:00,32,23,16,11
2025-10-10 00:00:00+00:00,13,11,27,18
2025-10-11 00:00:00+00:00,9,7,17,11
