time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-05 00:00:00+00:00,2.0,2.0,44,38
2024-07-06 00:00:00+00:00,1.0,1.0,38,21
2024-07-07 00:00:00+00:00,1.0,1.0,61,23
2024-07-08 00:00:00+00:00,2.0,1.0,125,48
2024-07-09 00:00:00+00:00,1.0,1.0,64,44
2024-07-10 00:00:00+00:00,,,84,54
2024-07-11 00:00:00+00:00,1.0,1.0,65,38
2024-07-12 00:00:00+00:00,4.0,2.0,44,30
2024-07-13 00:00:00+00:00,1.0,1.0,19,12
2024-07-14 00:00:00+00:00,,,12,11
2024-07-15 00:00:00+00:00,1.0,1.0,69,29
2024-07-16 00:00:00+00:00,4.0,1.0,65,40
2024-07-17 00:00:00+00:00,1.0,1.0,57,37
2024-07-18 00:00:00+00:00,1.0,1.0,63,38
